time_stamp,loc_id,num_of_people
2017-11-06 07,27,248
2017-11-06 07,28,445
2017-11-06 07,29,1052
2017-11-06 07,30,497
2017-11-06 07,31,762
2017-11-06 07,32,261
2017-11-06 07,33,291
2017-11-06 08,1,641
2017-11-06 08,2,561
2017-11-06 08,3,1214
2017-11-06 08,4,517
2017-11-06 08,5,506
2017-11-06 08,6,707
2017-11-06 08,7,326
2017-11-06 08,8,3422
2017-11-06 08,9,275
2017-11-06 08,10,1329
2017-11-06 08,11,359
2017-11-06 08,12,3878
2017-11-06 08,13,572
2017-11-06 08,14,671
2017-11-06 08,15,442
2017-11-06 08,16,687
2017-11-06 08,17,763
2017-11-06 08,18,360
2017-11-06 08,19,418
2017-11-06 08,20,1584
2017-11-06 08,21,673
2017-11-06 08,22,261
2017-11-06 08,23,238
2017-11-06 08,24,873
2017-11-06 08,25,896
2017-11-06 08,26,528
2017-11-06 08,27,913
2017-11-06 08,28,677
2017-11-06 08,29,1582
2017-11-06 08,30,614
2017-11-06 08,31,1037
2017-11-06 08,32,424
2017-11-06 08,33,767
2017-11-06 09,1,628
2017-11-06 09,2,672
2017-11-06 09,3,1215
2017-11-06 09,4,357
2017-11-06 09,5,531
2017-11-06 09,6,725
2017-11-06 09,7,278
2017-11-06 09,8,2648
2017-11-06 09,9,192
2017-11-06 09,10,872
2017-11-06 09,11,588
2017-11-06 09,12,2922
2017-11-06 09,13,402
2017-11-06 09,14,493
2017-11-06 09,15,664
2017-11-06 09,16,668
2017-11-06 09,17,875
2017-11-06 09,18,387
2017-11-06 09,19,527
2017-11-06 09,20,1690
2017-11-06 09,21,491
2017-11-06 09,22,472
2017-11-06 09,23,482
2017-11-06 09,24,1016
2017-11-06 09,25,622
2017-11-06 09,26,462
2017-11-06 09,27,1260
2017-11-06 09,28,850
2017-11-06 09,29,1695
2017-11-06 09,30,701
2017-11-06 09,31,1054
2017-11-06 09,32,433
2017-11-06 09,33,1050
2017-11-06 10,1,390
2017-11-06 10,2,518
2017-11-06 10,3,864
2017-11-06 10,4,287
2017-11-06 10,5,332
2017-11-06 10,6,513
2017-11-06 10,7,198
2017-11-06 10,8,2089
2017-11-06 10,9,155
2017-11-06 10,10,736
2017-11-06 10,11,452
2017-11-06 10,12,1975
2017-11-06 10,13,207
2017-11-06 10,14,513
2017-11-06 10,15,355
2017-11-06 10,16,695
2017-11-06 10,17,631
2017-11-06 10,18,304
2017-11-06 10,19,493
2017-11-06 10,20,1062
2017-11-06 10,21,473
2017-11-06 10,22,375
2017-11-06 10,23,353
2017-11-06 10,24,1005
2017-11-06 10,25,578
2017-11-06 10,26,284
2017-11-06 10,27,1284
2017-11-06 10,28,596
2017-11-06 10,29,1007
2017-11-06 10,30,406
2017-11-06 10,31,722
2017-11-06 10,32,339
2017-11-06 10,33,1029
2017-11-06 11,1,702
2017-11-06 11,2,883
2017-11-06 11,3,1683
2017-11-06 11,4,594
2017-11-06 11,5,623
2017-11-06 11,6,930
2017-11-06 11,7,318
2017-11-06 11,8,6045
2017-11-06 11,9,226
2017-11-06 11,10,3698
2017-11-06 11,11,727
2017-11-06 11,12,6648
2017-11-06 11,13,400
2017-11-06 11,14,644
2017-11-06 11,15,454
2017-11-06 11,16,1016
2017-11-06 11,17,1156
2017-11-06 11,18,359
2017-11-06 11,19,682
2017-11-06 11,20,2001
2017-11-06 11,21,840
2017-11-06 11,22,611
2017-11-06 11,23,493
2017-11-06 11,24,1221
2017-11-06 11,25,1094
2017-11-06 11,26,614
2017-11-06 11,27,1088
2017-11-06 11,28,1031
2017-11-06 11,29,3623
2017-11-06 11,30,663
2017-11-06 11,31,1442
2017-11-06 11,32,644
2017-11-06 11,33,879
2017-11-06 12,1,1362
2017-11-06 12,2,1043
2017-11-06 12,3,2302
2017-11-06 12,4,1087
2017-11-06 12,5,1265
2017-11-06 12,6,1521
2017-11-06 12,7,590
2017-11-06 12,8,8536
2017-11-06 12,9,551
2017-11-06 12,10,4320
2017-11-06 12,11,1145
2017-11-06 12,12,9162
2017-11-06 12,13,846
2017-11-06 12,14,763
2017-11-06 12,15,700
2017-11-06 12,16,1082
2017-11-06 12,17,1684
2017-11-06 12,18,477
2017-11-06 12,19,968
2017-11-06 12,20,1508
2017-11-06 12,21,1425
2017-11-06 12,22,556
2017-11-06 12,23,629
2017-11-06 12,24,1508
2017-11-06 12,25,1945
2017-11-06 12,26,1073
2017-11-06 12,27,700
2017-11-06 12,28,1432
2017-11-06 12,29,4286
2017-11-06 12,30,902
2017-11-06 12,31,2110
2017-11-06 12,32,992
2017-11-06 12,33,709
2017-11-06 13,1,881
2017-11-06 13,2,899
2017-11-06 13,3,1887
2017-11-06 13,4,649
2017-11-06 13,5,784
2017-11-06 13,6,1102
2017-11-06 13,7,512
2017-11-06 13,8,3498
2017-11-06 13,9,469
2017-11-06 13,10,1106
2017-11-06 13,11,861
2017-11-06 13,12,3476
2017-11-06 13,13,521
2017-11-06 13,14,730
2017-11-06 13,15,648
2017-11-06 13,16,803
2017-11-06 13,17,973
2017-11-06 13,18,418
2017-11-06 13,19,888
2017-11-06 13,20,2018
2017-11-06 13,21,920
2017-11-06 13,22,578
2017-11-06 13,23,687
2017-11-06 13,24,1516
2017-11-06 13,25,1100
2017-11-06 13,26,574
2017-11-06 13,27,1107
2017-11-06 13,28,775
2017-11-06 13,29,1560
2017-11-06 13,30,766
2017-11-06 13,31,1779
2017-11-06 13,32,715
2017-11-06 13,33,828
2017-11-06 14,1,503
2017-11-06 14,2,607
2017-11-06 14,3,1082
2017-11-06 14,4,503
2017-11-06 14,5,441
2017-11-06 14,6,562
2017-11-06 14,7,290
2017-11-06 14,8,2064
2017-11-06 14,9,232
2017-11-06 14,10,642
2017-11-06 14,11,388
2017-11-06 14,12,1928
2017-11-06 14,13,407
2017-11-06 14,14,536
2017-11-06 14,15,473
2017-11-06 14,16,569
2017-11-06 14,17,891
2017-11-06 14,18,229
2017-11-06 14,19,540
2017-11-06 14,20,2365
2017-11-06 14,21,713
2017-11-06 14,22,374
2017-11-06 14,23,216
2017-11-06 14,24,884
2017-11-06 14,25,841
2017-11-06 14,26,440
2017-11-06 14,27,983
2017-11-06 14,28,756
2017-11-06 14,29,822
2017-11-06 14,30,308
2017-11-06 14,31,1020
2017-11-06 14,32,348
2017-11-06 14,33,754
2017-11-06 15,1,469
2017-11-06 15,2,712
2017-11-06 15,3,1265
2017-11-06 15,4,530
2017-11-06 15,5,374
2017-11-06 15,6,678
2017-11-06 15,7,308
2017-11-06 15,8,2595
2017-11-06 15,9,289
2017-11-06 15,10,901
2017-11-06 15,11,646
2017-11-06 15,12,2468
2017-11-06 15,13,359
2017-11-06 15,14,806
2017-11-06 15,15,1210
2017-11-06 15,16,1001
2017-11-06 15,17,597
2017-11-06 15,18,250
2017-11-06 15,19,620
2017-11-06 15,20,2205
2017-11-06 15,21,639
2017-11-06 15,22,629
2017-11-06 15,23,589
2017-11-06 15,24,1425
2017-11-06 15,25,792
2017-11-06 15,26,404
2017-11-06 15,27,966
2017-11-06 15,28,508
2017-11-06 15,29,1162
2017-11-06 15,30,489
2017-11-06 15,31,1143
2017-11-06 15,32,423
2017-11-06 15,33,784
2017-11-06 16,1,474
2017-11-06 16,2,428
2017-11-06 16,3,946
2017-11-06 16,4,335
2017-11-06 16,5,374
2017-11-06 16,6,489
2017-11-06 16,7,278
2017-11-06 16,8,2322
2017-11-06 16,9,217
2017-11-06 16,10,1152
2017-11-06 16,11,437
2017-11-06 16,12,2305
2017-11-06 16,13,219
2017-11-06 16,14,714
2017-11-06 16,15,769
2017-11-06 16,16,553
2017-11-06 16,17,453
2017-11-06 16,18,334
2017-11-06 16,19,305
2017-11-06 16,20,1531
2017-11-06 16,21,579
2017-11-06 16,22,292
2017-11-06 16,23,309
2017-11-06 16,24,839
2017-11-06 16,25,696
2017-11-06 16,26,341
2017-11-06 16,27,623
2017-11-06 16,28,407
2017-11-06 16,29,1183
2017-11-06 16,30,698
2017-11-06 16,31,719
2017-11-06 16,32,329
2017-11-06 16,33,527
2017-11-06 17,1,905
2017-11-06 17,2,1031
2017-11-06 17,3,2145
2017-11-06 17,4,854
2017-11-06 17,5,726
2017-11-06 17,6,1082
2017-11-06 17,7,423
2017-11-06 17,8,6740
2017-11-06 17,9,284
2017-11-06 17,10,3852
2017-11-06 17,11,973
2017-11-06 17,12,6610
2017-11-06 17,13,492
2017-11-06 17,14,897
2017-11-06 17,15,875
2017-11-06 17,16,974
2017-11-06 17,17,1073
2017-11-06 17,18,483
2017-11-06 17,19,957
2017-11-06 17,20,1834
2017-11-06 17,21,1102
2017-11-06 17,22,628
2017-11-06 17,23,692
2017-11-06 17,24,1760
2017-11-06 17,25,1379
2017-11-06 17,26,640
2017-11-06 17,27,736
2017-11-06 17,28,930
2017-11-06 17,29,3704
2017-11-06 17,30,954
2017-11-06 17,31,1862
2017-11-06 17,32,717
2017-11-06 17,33,701
2017-11-06 18,1,839
2017-11-06 18,2,769
2017-11-06 18,3,2112
2017-11-06 18,4,858
2017-11-06 18,5,642
2017-11-06 18,6,1240
2017-11-06 18,7,573
2017-11-06 18,8,5702
2017-11-06 18,9,457
2017-11-06 18,10,2351
2017-11-06 18,11,715
2017-11-06 18,12,5528
2017-11-06 18,13,508
2017-11-06 18,14,678
2017-11-06 18,15,544
2017-11-06 18,16,465
2017-11-06 18,17,1457
2017-11-06 18,18,532
2017-11-06 18,19,693
2017-11-06 18,20,1720
2017-11-06 18,21,1076
2017-11-06 18,22,414
2017-11-06 18,23,442
2017-11-06 18,24,1275
2017-11-06 18,25,1503
2017-11-06 18,26,683
2017-11-06 18,27,397
2017-11-06 18,28,1301
2017-11-06 18,29,2475
2017-11-06 18,30,787
2017-11-06 18,31,2046
2017-11-06 18,32,786
2017-11-06 18,33,362
2017-11-06 19,1,514
2017-11-06 19,2,608
2017-11-06 19,3,1246
2017-11-06 19,4,517
2017-11-06 19,5,427
2017-11-06 19,6,891
2017-11-06 19,7,457
2017-11-06 19,8,3652
2017-11-06 19,9,406
2017-11-06 19,10,899
2017-11-06 19,11,501
2017-11-06 19,12,3670
2017-11-06 19,13,357
2017-11-06 19,14,420
2017-11-06 19,15,393
2017-11-06 19,16,292
2017-11-06 19,17,962
2017-11-06 19,18,360
2017-11-06 19,19,575
2017-11-06 19,20,1017
2017-11-06 19,21,625
2017-11-06 19,22,327
2017-11-06 19,23,330
2017-11-06 19,24,730
2017-11-06 19,25,828
2017-11-06 19,26,434
2017-11-06 19,27,371
2017-11-06 19,28,928
2017-11-06 19,29,1355
2017-11-06 19,30,536
2017-11-06 19,31,1134
2017-11-06 19,32,400
2017-11-06 19,33,325
2017-11-06 20,1,548
2017-11-06 20,2,476
2017-11-06 20,3,1027
2017-11-06 20,4,511
2017-11-06 20,5,435
2017-11-06 20,6,604
2017-11-06 20,7,381
2017-11-06 20,8,2961
2017-11-06 20,9,277
2017-11-06 20,10,830
2017-11-06 20,11,397
2017-11-06 20,12,2676
2017-11-06 20,13,315
2017-11-06 20,14,354
2017-11-06 20,15,323
2017-11-06 20,16,227
2017-11-06 20,17,651
2017-11-06 20,18,281
2017-11-06 20,19,482
2017-11-06 20,20,869
2017-11-06 20,21,689
2017-11-06 20,22,324
2017-11-06 20,23,243
2017-11-06 20,24,662
2017-11-06 20,25,734
2017-11-06 20,26,375
2017-11-06 20,27,293
2017-11-06 20,28,639
2017-11-06 20,29,1215
2017-11-06 20,30,396
2017-11-06 20,31,936
2017-11-06 20,32,359
2017-11-06 20,33,261
2017-11-06 21,1,414
2017-11-06 21,2,575
2017-11-06 21,3,1108
2017-11-06 21,4,506
2017-11-06 21,5,345
2017-11-06 21,6,648
2017-11-06 21,7,276
2017-11-06 21,8,2386
2017-11-06 21,9,256
2017-11-06 21,10,438
2017-11-06 21,11,524
2017-11-06 21,12,2179
2017-11-06 21,13,265
2017-11-06 21,14,370
2017-11-06 21,15,393
2017-11-06 21,16,257
2017-11-06 21,17,850
2017-11-06 21,18,366
2017-11-06 21,19,479
2017-11-06 21,20,846
2017-11-06 21,21,696
2017-11-06 21,22,227
2017-11-06 21,23,300
2017-11-06 21,24,565
2017-11-06 21,25,855
2017-11-06 21,26,327
2017-11-06 21,27,229
2017-11-06 21,28,829
2017-11-06 21,29,776
2017-11-06 21,30,462
2017-11-06 21,31,1019
2017-11-06 21,32,351
2017-11-06 21,33,229
2017-11-06 22,1,863
2017-11-06 22,2,771
2017-11-06 22,3,1381
2017-11-06 22,4,752
2017-11-06 22,5,738
2017-11-06 22,6,887
2017-11-06 22,7,301
2017-11-06 22,8,2930
2017-11-06 22,9,263
2017-11-06 22,10,334
2017-11-06 22,11,697
2017-11-06 22,12,2517
2017-11-06 22,13,398
2017-11-06 22,14,315
2017-11-06 22,15,446
2017-11-06 22,16,224
2017-11-06 22,17,1197
2017-11-06 22,18,453
2017-11-06 22,19,746
2017-11-06 22,20,977
2017-11-06 22,21,956
2017-11-06 22,22,176
2017-11-06 22,23,379
2017-11-06 22,24,692
2017-11-06 22,25,977
2017-11-06 22,26,350
2017-11-06 22,27,301
2017-11-06 22,28,974
2017-11-06 22,29,561
2017-11-06 22,30,586
2017-11-06 22,31,1434
2017-11-06 22,32,489
2017-11-06 22,33,352
2017-11-06 23,1,459
2017-11-06 23,2,720
2017-11-06 23,3,512
2017-11-06 23,4,526
2017-11-06 23,5,393
2017-11-06 23,6,669
2017-11-06 23,7,260
2017-11-06 23,8,678
2017-11-06 23,9,455
2017-11-06 23,10,126
2017-11-06 23,11,650
2017-11-06 23,12,615
2017-11-06 23,13,226
2017-11-06 23,14,127
2017-11-06 23,15,116
2017-11-06 23,16,63
2017-11-06 23,17,703
2017-11-06 23,18,506
2017-11-06 23,19,637
2017-11-06 23,20,315
2017-11-06 23,21,605
2017-11-06 23,22,18
2017-11-06 23,23,666
2017-11-06 23,24,161
2017-11-06 23,25,338
2017-11-06 23,26,205
2017-11-06 23,27,59
2017-11-06 23,28,571
2017-11-06 23,29,227
2017-11-06 23,30,717
2017-11-06 23,31,518
2017-11-06 23,32,220
2017-11-06 23,33,56
2017-11-07 00,1,797
2017-11-07 00,2,766
2017-11-07 00,3,54
2017-11-07 00,4,357
2017-11-07 00,5,286
2017-11-07 00,6,271
2017-11-07 00,7,206
2017-11-07 00,8,94
2017-11-07 00,9,345
2017-11-07 00,10,23
2017-11-07 00,11,708
2017-11-07 00,12,126
2017-11-07 00,13,44
2017-11-07 00,14,79
2017-11-07 00,15,9
2017-11-07 00,16,8
2017-11-07 00,17,380
2017-11-07 00,18,422
2017-11-07 00,19,424
2017-11-07 00,20,41
2017-11-07 00,21,510
2017-11-07 00,22,2
2017-11-07 00,23,543
2017-11-07 00,24,12
2017-11-07 00,25,513
2017-11-07 00,26,70
2017-11-07 00,27,17
2017-11-07 00,28,232
2017-11-07 00,29,35
2017-11-07 00,30,645
2017-11-07 00,31,214
2017-11-07 00,32,16
2017-11-07 00,33,15
2017-11-07 01,1,478
2017-11-07 01,2,793
2017-11-07 01,3,20
2017-11-07 01,4,102
2017-11-07 01,5,164
2017-11-07 01,6,228
2017-11-07 01,7,119
2017-11-07 01,8,11
2017-11-07 01,9,229
2017-11-07 01,10,13
2017-11-07 01,11,269
2017-11-07 01,12,19
2017-11-07 01,13,10
2017-11-07 01,14,83
2017-11-07 01,15,14
2017-11-07 01,16,6
2017-11-07 01,17,124
2017-11-07 01,18,183
2017-11-07 01,19,299
2017-11-07 01,20,22
2017-11-07 01,21,196
2017-11-07 01,22,2
2017-11-07 01,23,354
2017-11-07 01,24,2
2017-11-07 01,25,187
2017-11-07 01,26,8
2017-11-07 01,27,14
2017-11-07 01,28,124
2017-11-07 01,29,11
2017-11-07 01,30,194
2017-11-07 01,31,44
2017-11-07 01,32,5
2017-11-07 01,33,12
2017-11-07 02,1,380
2017-11-07 02,2,870
2017-11-07 02,3,9
2017-11-07 02,4,52
2017-11-07 02,5,188
2017-11-07 02,6,200
2017-11-07 02,7,75
2017-11-07 02,8,11
2017-11-07 02,9,117
2017-11-07 02,10,8
2017-11-07 02,11,189
2017-11-07 02,12,14
2017-11-07 02,13,6
2017-11-07 02,14,77
2017-11-07 02,15,7
2017-11-07 02,16,6
2017-11-07 02,17,94
2017-11-07 02,18,179
2017-11-07 02,19,292
2017-11-07 02,20,20
2017-11-07 02,21,192
2017-11-07 02,22,2
2017-11-07 02,23,378
2017-11-07 02,24,2
2017-11-07 02,25,208
2017-11-07 02,26,7
2017-11-07 02,27,16
2017-11-07 02,28,83
2017-11-07 02,29,7
2017-11-07 02,30,149
2017-11-07 02,31,25
2017-11-07 02,32,1
2017-11-07 02,33,13
2017-11-07 03,1,317
2017-11-07 03,2,855
2017-11-07 03,3,14
2017-11-07 03,4,288
2017-11-07 03,5,200
2017-11-07 03,6,208
2017-11-07 03,7,114
2017-11-07 03,8,15
2017-11-07 03,9,116
2017-11-07 03,10,6
2017-11-07 03,11,179
2017-11-07 03,12,20
2017-11-07 03,13,3
2017-11-07 03,14,83
2017-11-07 03,15,7
2017-11-07 03,16,7
2017-11-07 03,17,87
2017-11-07 03,18,303
2017-11-07 03,19,229
2017-11-07 03,20,18
2017-11-07 03,21,199
2017-11-07 03,22,2
2017-11-07 03,23,341
2017-11-07 03,24,3
2017-11-07 03,25,200
2017-11-07 03,26,5
2017-11-07 03,27,18
2017-11-07 03,28,65
2017-11-07 03,29,5
2017-11-07 03,30,286
2017-11-07 03,31,26
2017-11-07 03,32,3
2017-11-07 03,33,14
2017-11-07 04,1,353
2017-11-07 04,2,876
2017-11-07 04,3,9
2017-11-07 04,4,60
2017-11-07 04,5,204
2017-11-07 04,6,192
2017-11-07 04,7,60
2017-11-07 04,8,32
2017-11-07 04,9,110
2017-11-07 04,10,15
2017-11-07 04,11,206
2017-11-07 04,12,35
2017-11-07 04,13,5
2017-11-07 04,14,80
2017-11-07 04,15,7
2017-11-07 04,16,8
2017-11-07 04,17,65
2017-11-07 04,18,327
2017-11-07 04,19,189
2017-11-07 04,20,19
2017-11-07 04,21,202
2017-11-07 04,22,2
2017-11-07 04,23,358
2017-11-07 04,24,3
2017-11-07 04,25,242
2017-11-07 04,26,8
2017-11-07 04,27,25
2017-11-07 04,28,75
2017-11-07 04,29,19
2017-11-07 04,30,296
2017-11-07 04,31,31
2017-11-07 04,32,3
2017-11-07 04,33,22
2017-11-07 05,1,356
2017-11-07 05,2,1051
2017-11-07 05,3,18
2017-11-07 05,4,88
2017-11-07 05,5,251
2017-11-07 05,6,169
2017-11-07 05,7,121
2017-11-07 05,8,82
2017-11-07 05,9,138
2017-11-07 05,10,30
2017-11-07 05,11,198
2017-11-07 05,12,88
2017-11-07 05,13,17
2017-11-07 05,14,89
2017-11-07 05,15,9
2017-11-07 05,16,10
2017-11-07 05,17,68
2017-11-07 05,18,314
2017-11-07 05,19,155
2017-11-07 05,20,23
2017-11-07 05,21,176
2017-11-07 05,22,2
2017-11-07 05,23,436
2017-11-07 05,24,10
2017-11-07 05,25,219
2017-11-07 05,26,16
2017-11-07 05,27,28
2017-11-07 05,28,121
2017-11-07 05,29,71
2017-11-07 05,30,275
2017-11-07 05,31,36
2017-11-07 05,32,4
2017-11-07 05,33,25
2017-11-07 06,1,329
2017-11-07 06,2,853
2017-11-07 06,3,108
2017-11-07 06,4,107
2017-11-07 06,5,210
2017-11-07 06,6,313
2017-11-07 06,7,104
2017-11-07 06,8,417
2017-11-07 06,9,114
2017-11-07 06,10,116
2017-11-07 06,11,309
2017-11-07 06,12,479
2017-11-07 06,13,44
2017-11-07 06,14,96
2017-11-07 06,15,53
2017-11-07 06,16,32
2017-11-07 06,17,288
2017-11-07 06,18,255
2017-11-07 06,19,207
2017-11-07 06,20,39
2017-11-07 06,21,159
2017-11-07 06,22,8
2017-11-07 06,23,435
2017-11-07 06,24,123
2017-11-07 06,25,193
2017-11-07 06,26,65
2017-11-07 06,27,71
2017-11-07 06,28,289
2017-11-07 06,29,195
2017-11-07 06,30,407
2017-11-07 06,31,131
2017-11-07 06,32,43
2017-11-07 06,33,80
2017-11-07 07,1,497
2017-11-07 07,2,713
2017-11-07 07,3,854
2017-11-07 07,4,230
2017-11-07 07,5,438
2017-11-07 07,6,627
2017-11-07 07,7,240
2017-11-07 07,8,2325
2017-11-07 07,9,221
2017-11-07 07,10,1036
2017-11-07 07,11,763
2017-11-07 07,12,2630
2017-11-07 07,13,366
2017-11-07 07,14,491
2017-11-07 07,15,373
2017-11-07 07,16,326
2017-11-07 07,17,557
2017-11-07 07,18,411
2017-11-07 07,19,669
2017-11-07 07,20,216
2017-11-07 07,21,490
2017-11-07 07,22,313
2017-11-07 07,23,587
2017-11-07 07,24,711
2017-11-07 07,25,620
2017-11-07 07,26,432
2017-11-07 07,27,375
2017-11-07 07,28,487
2017-11-07 07,29,1346
2017-11-07 07,30,608
2017-11-07 07,31,999
2017-11-07 07,32,286
2017-11-07 07,33,350
2017-11-07 08,1,474
2017-11-07 08,2,569
2017-11-07 08,3,1117
2017-11-07 08,4,604
2017-11-07 08,5,422
2017-11-07 08,6,609
2017-11-07 08,7,341
2017-11-07 08,8,3767
2017-11-07 08,9,270
2017-11-07 08,10,1863
2017-11-07 08,11,310
2017-11-07 08,12,4142
2017-11-07 08,13,460
2017-11-07 08,14,668
2017-11-07 08,15,469
2017-11-07 08,16,820
2017-11-07 08,17,884
2017-11-07 08,18,590
2017-11-07 08,19,493
2017-11-07 08,20,1488
2017-11-07 08,21,748
2017-11-07 08,22,219
2017-11-07 08,23,175
2017-11-07 08,24,1038
2017-11-07 08,25,946
2017-11-07 08,26,536
2017-11-07 08,27,399
2017-11-07 08,28,878
2017-11-07 08,29,2430
2017-11-07 08,30,771
2017-11-07 08,31,1127
2017-11-07 08,32,431
2017-11-07 08,33,327
2017-11-07 09,1,781
2017-11-07 09,2,565
2017-11-07 09,3,1164
2017-11-07 09,4,501
2017-11-07 09,5,712
2017-11-07 09,6,639
2017-11-07 09,7,377
2017-11-07 09,8,3031
2017-11-07 09,9,340
2017-11-07 09,10,822
2017-11-07 09,11,591
2017-11-07 09,12,3368
2017-11-07 09,13,356
2017-11-07 09,14,779
2017-11-07 09,15,897
2017-11-07 09,16,840
2017-11-07 09,17,875
2017-11-07 09,18,379
2017-11-07 09,19,519
2017-11-07 09,20,1623
2017-11-07 09,21,648
2017-11-07 09,22,615
2017-11-07 09,23,417
2017-11-07 09,24,1621
2017-11-07 09,25,732
2017-11-07 09,26,429
2017-11-07 09,27,520
2017-11-07 09,28,789
2017-11-07 09,29,1600
2017-11-07 09,30,610
2017-11-07 09,31,1053
2017-11-07 09,32,325
2017-11-07 09,33,352
2017-11-07 10,1,573
2017-11-07 10,2,389
2017-11-07 10,3,975
2017-11-07 10,4,321
2017-11-07 10,5,585
2017-11-07 10,6,453
2017-11-07 10,7,166
2017-11-07 10,8,2404
2017-11-07 10,9,128
2017-11-07 10,10,587
2017-11-07 10,11,522
2017-11-07 10,12,2535
2017-11-07 10,13,266
2017-11-07 10,14,640
2017-11-07 10,15,463
2017-11-07 10,16,734
2017-11-07 10,17,599
2017-11-07 10,18,303
2017-11-07 10,19,385
2017-11-07 10,20,1589
2017-11-07 10,21,354
2017-11-07 10,22,376
2017-11-07 10,23,351
2017-11-07 10,24,1112
2017-11-07 10,25,561
2017-11-07 10,26,352
2017-11-07 10,27,354
2017-11-07 10,28,633
2017-11-07 10,29,1078
2017-11-07 10,30,435
2017-11-07 10,31,852
2017-11-07 10,32,289
2017-11-07 10,33,266
2017-11-07 11,1,816
2017-11-07 11,2,630
2017-11-07 11,3,2059
2017-11-07 11,4,661
2017-11-07 11,5,713
2017-11-07 11,6,996
2017-11-07 11,7,337
2017-11-07 11,8,6616
2017-11-07 11,9,271
2017-11-07 11,10,3297
2017-11-07 11,11,912
2017-11-07 11,12,7355
2017-11-07 11,13,338
2017-11-07 11,14,627
2017-11-07 11,15,559
2017-11-07 11,16,1033
2017-11-07 11,17,1410
2017-11-07 11,18,456
2017-11-07 11,19,586
2017-11-07 11,20,2336
2017-11-07 11,21,600
2017-11-07 11,22,420
2017-11-07 11,23,491
2017-11-07 11,24,1357
2017-11-07 11,25,1135
2017-11-07 11,26,495
2017-11-07 11,27,567
2017-11-07 11,28,1280
2017-11-07 11,29,3470
2017-11-07 11,30,653
2017-11-07 11,31,1800
2017-11-07 11,32,632
2017-11-07 11,33,549
2017-11-07 12,1,1094
2017-11-07 12,2,1254
2017-11-07 12,3,2945
2017-11-07 12,4,1213
2017-11-07 12,5,1050
2017-11-07 12,6,1580
2017-11-07 12,7,714
2017-11-07 12,8,9003
2017-11-07 12,9,551
2017-11-07 12,10,4801
2017-11-07 12,11,1149
2017-11-07 12,12,9717
2017-11-07 12,13,845
2017-11-07 12,14,569
2017-11-07 12,15,864
2017-11-07 12,16,733
2017-11-07 12,17,1861
2017-11-07 12,18,550
2017-11-07 12,19,1153
2017-11-07 12,20,1507
2017-11-07 12,21,1264
2017-11-07 12,22,534
2017-11-07 12,23,571
2017-11-07 12,24,1438
2017-11-07 12,25,1849
2017-11-07 12,26,1001
2017-11-07 12,27,434
2017-11-07 12,28,1547
2017-11-07 12,29,4460
2017-11-07 12,30,887
2017-11-07 12,31,2809
2017-11-07 12,32,957
2017-11-07 12,33,499
2017-11-07 13,1,852
2017-11-07 13,2,681
2017-11-07 13,3,1651
2017-11-07 13,4,577
2017-11-07 13,5,793
2017-11-07 13,6,861
2017-11-07 13,7,447
2017-11-07 13,8,3513
2017-11-07 13,9,368
2017-11-07 13,10,1095
2017-11-07 13,11,961
2017-11-07 13,12,3582
2017-11-07 13,13,477
2017-11-07 13,14,919
2017-11-07 13,15,826
2017-11-07 13,16,819
2017-11-07 13,17,960
2017-11-07 13,18,444
2017-11-07 13,19,767
2017-11-07 13,20,999
2017-11-07 13,21,605
2017-11-07 13,22,624
2017-11-07 13,23,665
2017-11-07 13,24,1658
2017-11-07 13,25,1117
2017-11-07 13,26,529
2017-11-07 13,27,1250
2017-11-07 13,28,838
2017-11-07 13,29,1780
2017-11-07 13,30,736
2017-11-07 13,31,1736
2017-11-07 13,32,515
2017-11-07 13,33,1172
2017-11-07 14,1,431
2017-11-07 14,2,459
2017-11-07 14,3,1180
2017-11-07 14,4,392
2017-11-07 14,5,394
2017-11-07 14,6,590
2017-11-07 14,7,207
2017-11-07 14,8,1753
2017-11-07 14,9,191
2017-11-07 14,10,603
2017-11-07 14,11,407
2017-11-07 14,12,1709
2017-11-07 14,13,353
2017-11-07 14,14,410
2017-11-07 14,15,639
2017-11-07 14,16,671
2017-11-07 14,17,1042
2017-11-07 14,18,347
2017-11-07 14,19,424
2017-11-07 14,20,1439
2017-11-07 14,21,471
2017-11-07 14,22,305
2017-11-07 14,23,281
2017-11-07 14,24,1031
2017-11-07 14,25,664
2017-11-07 14,26,445
2017-11-07 14,27,709
2017-11-07 14,28,1006
2017-11-07 14,29,1288
2017-11-07 14,30,350
2017-11-07 14,31,1172
2017-11-07 14,32,368
2017-11-07 14,33,581
2017-11-07 15,1,653
2017-11-07 15,2,680
2017-11-07 15,3,1576
2017-11-07 15,4,345
2017-11-07 15,5,602
2017-11-07 15,6,816
2017-11-07 15,7,365
2017-11-07 15,8,2457
2017-11-07 15,9,317
2017-11-07 15,10,782
2017-11-07 15,11,752
2017-11-07 15,12,2200
2017-11-07 15,13,289
2017-11-07 15,14,238
2017-11-07 15,15,935
2017-11-07 15,16,810
2017-11-07 15,17,947
2017-11-07 15,18,414
2017-11-07 15,19,582
2017-11-07 15,20,1265
2017-11-07 15,21,480
2017-11-07 15,22,921
2017-11-07 15,23,496
2017-11-07 15,24,1291
2017-11-07 15,25,720
2017-11-07 15,26,371
2017-11-07 15,27,1108
2017-11-07 15,28,975
2017-11-07 15,29,1372
